post_town,part_1_construction_age_band,average_current_energy_efficiency_rating,average_potential_energy_efficiency_rating,average_current_environmental_impact_rating,average_potential_environmental_impact_rating,average_current_emissions_(t.co2/yr),average_potential_reduction_in_emissions_(t.co2/yr),average_potential_savings_in_heating_costs_over_3_years,average_potential_savings_in_hot_water_costs_over_3_years,rank_average_current_emissions_(t.co2/yr),rank_average_current_energy_efficiency_rating,rank_average_potential_energy_efficiency_rating,rank_average_current_environmental_impact_rating,rank_average_potential_environmental_impact_rating,rank_average_potential_reduction_in_emissions_(t.co2/yr),rank_average_potential_savings_in_heating_costs_over_3_years,rank_average_potential_savings_in_hot_water_costs_over_3_years
edinburgh,1930-1949,70.92768209172027,80.03014110811371,61.377245508982035,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,1204.0,296.0,386.0,340.0,424.0
edinburgh,1919-1929,70.92768209172027,80.03014110811371,58.98,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,1347.0,296.0,386.0,340.0,424.0
edinburgh,1965-1975,70.92768209172027,80.03014110811371,64.33976833976834,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,989.0,296.0,386.0,340.0,424.0
perth,1999-2002,68.37348178137651,82.16869095816465,65.95049504950495,79.65789473684211,3.9563765182186237,1.600843454790823,609.4240890688259,137.48481781376518,197.0,200.0,322.0,865.0,289.0,313.0,302.0,310.0
glasgow,before 1919,71.07386287937328,80.5512270510805,62.6391237509608,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,1119.0,287.0,389.0,367.0,419.0
dollar,1976-1983,61.90714285714286,81.4,62.083333333333336,79.99285714285715,5.8307142857142855,2.7235714285714288,950.3785714285714,161.1,331.0,292.0,354.0,1153.0,278.0,188.0,215.0,265.0
glasgow,1930-1949,71.07386287937328,80.5512270510805,63.86578873634071,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,1027.0,287.0,389.0,367.0,419.0
larbert,1950-1964,69.93900184842883,81.94269870609982,61.69375,80.39556377079482,3.420332717190388,1.3297597042513862,326.0351201478743,93.81515711645102,143.0,172.0,329.0,1178.0,258.0,351.0,419.0,417.0
thornhill,before 1919,48.48125,81.79375,42.940298507462686,78.4625,7.3862499999999995,4.235,1617.2625,309.69375,400.0,410.0,333.0,1878.0,324.0,92.0,103.0,104.0
edinburgh,1984-1991,70.92768209172027,80.03014110811371,67.52095130237825,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,773.0,296.0,386.0,340.0,424.0
edinburgh,2008 onwards,70.92768209172027,80.03014110811371,82.9496981891348,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,226.0,296.0,386.0,340.0,424.0
haddington,1984-1991,72.43840579710145,85.8840579710145,64.44186046511628,84.44384057971014,3.430072463768116,1.6206521739130435,482.48369565217394,147.83152173913044,146.0,117.0,167.0,983.0,131.0,311.0,342.0,285.0
edinburgh,1976-1983,70.92768209172027,80.03014110811371,65.44507575757575,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,900.0,296.0,386.0,340.0,424.0
dunbar,1950-1964,67.5,82.69811320754717,60.212765957446805,81.12264150943396,4.118238993710691,1.9949685534591195,669.1698113207547,164.46226415094338,209.0,219.0,296.0,1274.0,228.0,264.0,284.0,258.0
haddington,1950-1964,72.43840579710145,85.8840579710145,59.96296296296296,84.44384057971014,3.430072463768116,1.6206521739130435,482.48369565217394,147.83152173913044,146.0,117.0,167.0,1292.0,131.0,311.0,342.0,285.0
dundee,1984-1991,69.00415081286752,80.96610169491525,66.9704433497537,78.89986163957109,3.591611898996887,1.3517986855759254,558.4685230024213,121.00605326876513,166.0,188.0,368.0,802.0,313.0,343.0,319.0,335.0
forres,1965-1975,66.66893039049236,84.63497453310696,64.53048780487805,83.5314091680815,4.0675721561969445,2.0787775891341256,593.974533106961,134.3276740237691,205.0,229.0,212.0,975.0,144.0,252.0,305.0,313.0
